=====================================
SARIMA Forecast Report
=====================================

Forecast Start : 2021-12-31
Forecast End   : 2022-01-29

Forecast Values

      Date   Forecast   Lower CI   Upper CI
2021-12-31 235.296091 215.353429 255.238754
2022-01-01 233.623384 213.676200 253.570568
2022-01-02 225.417939 205.470591 245.365286
2022-01-03 235.274642 215.327207 255.222077
2022-01-04 234.078376 214.130848 254.025904
2022-01-05 234.654921 214.707298 254.602545
2022-01-06 240.256457 220.308735 260.204179
2022-01-07 244.203650 224.255827 264.151474
2022-01-08 254.777270 234.829342 274.725198
2022-01-09 260.577483 240.629445 280.525520
2022-01-10 266.543466 246.595326 286.491606
2022-01-11 272.616861 252.680106 292.553616
2022-01-12 275.345517 255.408826 295.282208
2022-01-13 284.466390 264.529666 304.403114
2022-01-14 286.462393 266.525636 306.399151
2022-01-15 289.114241 269.177446 309.051035
2022-01-16 293.775337 273.838503 313.712171
2022-01-17 293.940245 274.003367 313.877122
2022-01-18 296.576947 276.640024 316.513870
2022-01-19 293.979564 274.042592 313.916536
2022-01-20 290.216583 270.279560 310.153607
2022-01-21 290.781499 270.844421 310.718577
2022-01-22 288.580725 268.643589 308.517861
2022-01-23 281.679978 261.742781 301.617174
2022-01-24 275.738105 255.800846 295.675365
2022-01-25 267.559263 247.621938 287.496589
2022-01-26 261.148304 241.210909 281.085698
2022-01-27 254.738744 234.801278 274.676211
2022-01-28 252.135648 232.198107 272.073189
2022-01-29 241.270475 221.332856 261.208093
